last,first,sex,ro,event,qt,time,time_m,time_s,time_f,date,comp,comploc
MURPHY,Ryan,Male,USA,Men Backstroke 100m,OQT,00:52:04,0,52,4,30/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
XU,Jiayu,Male,CHN,Men Backstroke 100m,OQT,00:52:05,0,52,5,26/09/2023,19th Asian Games 2023,CHN
CECCON,Thomas,Male,ITA,Men Backstroke 100m,OQT,00:52:16,0,52,16,24/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
CHRISTOU,Apostolos,Male,GRE,Men Backstroke 100m,OQT,00:52:23,0,52,23,23/06/2024,European Championships 2024,SRB
ARMSTRONG,Hunter,Male,USA,Men Backstroke 100m,OQT,00:52:33,0,52,33,30/06/2023,Phillips 66 National Championships (50m),USA
GONZALEZ,Hugo,Male,ESP,Men Backstroke 100m,OQT,00:52:70,0,52,70,13/02/2024,World Aquatics Championships - Doha 2024,QAT
MORGAN,Oliver,Male,GBR,Men Backstroke 100m,OQT,00:52:70,0,52,70,03/04/2024,British National Championships (50m),GBR
MAKRYGIANNIS,Evangelos,Male,GRE,Men Backstroke 100m,OQT,00:52:83,0,52,83,23/06/2024,European Championships 2024,SRB
NDOYE-BROUARD,Yohann,Male,FRA,Men Backstroke 100m,OQT,00:52:84,0,52,84,25/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
TOMAC,Mewen,Male,FRA,Men Backstroke 100m,OQT,00:52:86,0,52,86,24/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
COETZE,Pieter,Male,RSA,Men Backstroke 100m,OQT,00:52:89,0,52,89,11/04/2024,South African National Championships (50m),RSA
MASIUK,Ksawery,Male,POL,Men Backstroke 100m,OQT,00:52:92,0,52,92,25/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
MARSHALL,Jonathon,Male,GBR,Men Backstroke 100m,OQT,00:53:03,0,53,3,03/04/2024,British National Championships (50m),GBR
KOS,Hubert,Male,HUN,Men Backstroke 100m,OQT,00:53:08,0,53,8,13/04/2024,TYR Pro Swim Series San Antonio 2024,USA
KNEDLA,Miroslav,Male,CZE,Men Backstroke 100m,OQT,00:53:28,0,53,28,04/09/2023,World Aquatics Junior Swimming Championships 2023,ISR
MITYUKOV,Roman,Male,SUI,Men Backstroke 100m,OQT,00:53:32,0,53,32,24/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
LAMBERTI,Michele,Male,ITA,Men Backstroke 100m,OQT,00:53:35,0,53,35,21/06/2024,60th International Trophy Sette Colli,ITA
JASZO,Adam,Male,HUN,Men Backstroke 100m,OQT,00:53:35,0,53,35,15/12/2023,16th Gyor Open,HUN
WOODWARD,Bradley,Male,AUS,Men Backstroke 100m,OQT,00:53:38,0,53,38,30/07/2023,World Aquatics Championships - Fukuoka 2023,JPN
COOPER,Isaac,Male,AUS,Men Backstroke 100m,OQT,00:53:46,0,53,46,14/06/2023,Australian Swimming Trials,AUS
BRAUNSCHWEIG,Ole,Male,GER,Men Backstroke 100m,OQT,00:53:47,0,53,47,22/04/2023,Berlin Swim Open 2023,GER
